Company,Product,TypeName,Inches,ScreenResolution,CPU_Company,CPU_Type,CPU_Frequency (GHz),RAM (GB),Memory,GPU_Company,GPU_Type,OpSys,Weight (kg),Battery_life_hours,Price_EURO,CPU_score,GPU_score,RAM_score,PS,suitable_tasks,suitable_jobs,Description
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,128GB SSD +  1TB HDD,Nvidia,GeForce 930MX,Windows 10,2.5,3 ~ 4.5,977,3357,1285,8,4642.5,office_basic;coding_basic;figma;gaming_light,office_admin;software_engineer;student_cs,"Meet the HP ProBook 470, a reliable laptop designed for professionals on-the-go. Boasting an Intel Core i5 processor, 8GB of RAM, and a dedicated NVIDIA GeForce 930MX GPU, this laptop delivers smooth performance for multitasking and graphics-intensive tasks. With its 17.3"" Full HD display and ample storage, it's perfect for business users who need a balance of power and portability."
HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,256GB SSD,Nvidia,GeForce 930MX,Windows 10,2.1,4 ~ 6,879,3488,1285,8,4773.5,office_basic;coding_basic;figma;gaming_light,office_admin;software_engineer;student_cs,"Meet the HP ProBook 450, a powerful and portable laptop designed for busy professionals. With a crisp 15.6"" Full HD display, you'll enjoy vibrant visuals and sharp text. The Intel Core i5 processor and 8GB of RAM provide smooth performance, while the dedicated NVIDIA GeForce 930MX GPU handles graphics with ease. Perfect for those who need to stay productive on-the-go."
Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 8650U,1.9,8,256GB SSD +  256GB SSD,Intel,UHD Graphics 620,Windows 10,1.88,6 ~ 8,1298,3781,1030,8,4811.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs,"The Dell Latitude 5590 is a reliable laptop designed for professionals on-the-go. Equipped with an Intel Core i7 processor, 8GB of RAM, and dual 256GB SSDs, it delivers fast performance and ample storage. Perfect for business use or remote work, its long battery life up to 8 hours ensures you stay productive all day."
Acer,Aspire A515-51G-32MX,Notebook,15.6,Full HD 1920x1080,Intel,Core i3 7130U,2.7,4,1TB HDD,Nvidia,GeForce MX130,Windows 10,2.2,3.5 ~ 5,530,3000,1814,4,4814.25,office_basic,office_admin,"The Acer Aspire A515-51G-32MX is a reliable laptop for everyday use. Featuring a 15.6"" Full HD display, it's perfect for streaming, browsing, and office work. With a Core i3 processor and 1TB of storage, you'll have ample space for files and documents. Great for students, freelancers, or anyone needing a dependable laptop for basic tasks."
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,Intel,Core i5 7200U,2.5,8,1TB HDD,Nvidia,GeForce 940MX,Linux,2.3,2.5 ~ 4,522.99,3350,1512,8,4862.5,office_basic;coding_basic;figma;gaming_light,office_admin;software_engineer;student_cs,"Here is a concise, friendly product description for the Asus X542UQ-GO005: Get productive on the go with the Asus X542UQ-GO005! This versatile laptop features an Intel Core i5 processor, 8GB of RAM, and a spacious 1TB hard drive. Perfect for students, freelancers, or anyone who needs a reliable computer for everyday tasks, this laptop offers great performance and storage at an affordable price."
Dell,Latitude 5590,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,256GB SSD,Intel,UHD Graphics 620,Windows 10,1.88,7 ~ 9,1096.16,3879,1030,8,4909.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs,"Meet the Dell Latitude 5590, a reliable laptop designed for professionals on-the-go. With its 15.6"" Full HD display, you can enjoy crisp visuals and productivity wherever your work takes you. Powered by an i5 processor and 8GB of RAM, this laptop handles tasks with ease, while the SSD storage keeps you running smoothly. Ideal for office workers and remote teams who need a hassle-free device."
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8,16,256GB SSD +  2TB HDD,AMD,Radeon 530,Windows 10,2.8,3 ~ 5,1299,3971,1030,16,5002,office_basic;multitask;coding_heavy;figma;photoshop,graphic_designer;office_admin;software_engineer;student_cs;uiux_designer,"The Dell Inspiron 5770 is a versatile laptop designed for everyday use. Its 17.3"" Full HD display provides crisp visuals, while the Core i7 processor delivers smooth performance. With ample storage and 16GB of RAM, this laptop is perfect for students, professionals, and anyone who needs to multitask with ease."
Acer,Aspire 3,Notebook,15.6,1366x768,Intel,Core i3 7130U,2.7,4,1TB HDD,Intel,HD Graphics 620,Linux,2.1,4 ~ 6,367,4100,935,4,5035.25,office_basic,office_admin,"The Acer Aspire 3 is a reliable laptop perfect for everyday tasks. With its large 15.6"" display and Core i3 processor, you can enjoy smooth performance while working or streaming your favorite shows. The spacious 1TB hard drive provides ample storage for all your files. Ideal for students and professionals who need a no-fuss device to stay productive."
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel,Core i7,2.2,16,256GB Flash Storage,Intel,Iris Pro Graphics,Mac OS X,2.04,8 ~ 10,2139.97,3863,1176,16,5040,office_basic;multitask;coding_heavy;figma;photoshop,graphic_designer;office_admin;software_engineer;student_cs;teacher;uiux_designer,"Meet the Apple MacBook Pro, a powerhouse laptop designed for creative professionals and heavy users. With its stunning 15.4"" Retina Display, Core i7 processor, and Iris Pro Graphics, you'll enjoy seamless performance and vibrant visuals. Perfect for photo editing, video production, or demanding tasks, this machine packs 16GB of RAM and 256GB flash storage for a smooth user experience that lasts up to 10 hours on a single charge."
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,Full HD 1920x1080,AMD,FX 9830P,3,8,1TB HDD,AMD,Radeon RX 560,Windows 10,2.45,2 ~ 3,699,1467,3670,8,5137.5,office_basic;figma;gaming_light,office_admin,"The Asus FX550IK-DM018T is a powerful and feature-packed laptop perfect for everyday use. With its AMD FX 9830P processor, 8GB of RAM, and Radeon RX 560 graphics card, it handles demanding tasks with ease. The 15.6"" Full HD display makes streaming and browsing a pleasure, ideal for students and professionals on the go who need reliable performance without breaking the bank."
HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,512GB SSD,Intel,UHD Graphics 620,Windows 10,1.49,2 ~ 3,1103,4118,1030,8,5148.5,office_basic;multitask;coding_heavy;figma;photoshop;data_science,data_scientist;graphic_designer;office_admin;software_engineer;student_cs;teacher;uiux_designer,"The HP ProBook 430 is a powerful and portable laptop perfect for professionals on-the-go. Featuring an 8th Gen Core i7 processor, 512GB SSD storage, and 8GB of RAM, it delivers smooth performance for demanding tasks like document editing and presentations. Ideal for business users who need reliability and speed in a compact package."
HP,Probook 430,Notebook,13.3,Full HD 1920x1080,Intel,Core i7 8550U,1.8,16,512GB SSD,Intel,UHD Graphics 620,Windows 10,1.49,2 ~ 3,1197,4118,1030,16,5149,office_basic;multitask;coding_heavy;figma;photoshop,graphic_designer;office_admin;software_engineer;student_cs;teacher;uiux_designer,"The HP Probook 430 is a powerful and portable laptop perfect for professionals on the go. Equipped with an Intel Core i7 processor, 16GB of RAM, and a fast 512GB SSD, it delivers seamless performance and multitasking capabilities. Ideal for business users who need to stay productive anywhere, its Full HD display and long-lasting battery ensure you can work efficiently all day."
Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,256GB SSD,AMD,Radeon 530,Windows 10,1.4,3 ~ 4,955,4169,1030,8,5199.5,office_basic;gaming_light,office_admin;teacher,"The Dell Inspiron 5370 is a versatile laptop designed for everyday use. With its vibrant 13.3"" Full HD display, you'll enjoy crisp visuals and rich colors. The powerful Core i7 processor and Radeon 530 graphics provide smooth performance for multitasking and creative tasks. Perfect for students and professionals on-the-go."
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,256GB SSD,Intel,UHD Graphics 620,Windows 10,1.21,8 ~ 10,1649,4347,1030,8,5377.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs;teacher,"The Dell XPS 13 is a sleek and powerful laptop perfect for everyday use. Featuring a vibrant 13.3"" Full HD display, an Intel Core i7 processor, and 8GB of RAM, this laptop handles multitasking with ease. Ideal for students, professionals, or anyone who needs a reliable device to stay productive on the go."
Dell,XPS 13,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel,Core i7 8550U,1.8,16,512GB SSD,Intel,UHD Graphics 620,Windows 10,1.2,6 ~ 8,1869,4347,1030,16,5378,office_basic,office_admin;teacher,"Here is a concise, friendly product description for the Dell XPS 13: Experience power and portability with the Dell XPS 13. Featuring a stunning Quad HD+ touchscreen display and Intel Core i7 processor, this laptop delivers seamless performance. Ideal for busy professionals and creatives on-the-go, it offers all-day battery life up to 8 hours and plenty of storage space."
Dell,Inspiron 7773,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel,Core i5 8250U,1.6,12,1TB HDD,Nvidia,GeForce 150MX,Windows 10,2.77,3 ~ 4,999,3242,2255,12,5497.75,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs,"The Dell Inspiron 7773 is a powerful and portable laptop perfect for everyday use. With its large 17.3"" Full HD touchscreen display, you'll enjoy vivid visuals and intuitive touch control. Ideal for students, professionals, and anyone who wants to stay productive on the go, this laptop features a reliable Core i5 processor, ample 12GB of RAM, and a spacious 1TB hard drive."
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel,Core i5,2,8,256GB SSD,Intel,Iris Graphics 540,macOS,1.37,8 ~ 10 ,1419,4734,1262,8,5996.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs;teacher,"Here is a concise and friendly product description for the Apple MacBook Pro: ""Stay productive on-the-go with the Apple MacBook Pro, featuring a stunning 13.3-inch Retina Display and powerful Core i5 processor. With 8GB of RAM and a fast SSD, you'll enjoy seamless multitasking and rapid app launching. Ideal for students, professionals, and creatives, this laptop delivers up to 10 hours of battery life."""
Asus,ZenBook UX430UN,Ultrabook,14,Full HD 1920x1080,Intel,Core i7 8550U,1.8,16,512GB SSD,Nvidia,GeForce MX150,Windows 10,1.3,6 ~ 8,1495,"3,937",2255,16,6193,office_basic;multitask;coding_heavy;figma;photoshop;video_editing_1080p;3d_rendering;cad_cam;gaming_light,3d_artist;content_creator;graphic_designer;office_admin;software_engineer;student_cs;teacher;uiux_designer;video_editor,"Meet the Asus ZenBook UX430UN, a powerful and portable laptop designed for productivity on-the-go. With its impressive Core i7 processor, 16GB of RAM, and dedicated GeForce MX150 graphics, you can tackle demanding tasks with ease. Perfect for students, professionals, and creators who need a reliable device that's also compact and lightweight."
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel,Core i5,2.3,8,128GB SSD,Intel,Iris Plus Graphics 640,macOS,1.37,7 ~ 9,1339.69,4734,1498,8,6232.5,office_basic,office_admin;teacher,"The Apple MacBook Pro is a powerful and portable laptop, perfect for creative professionals and students. Its stunning 13.3"" Retina Display shows vibrant colors and crisp text, while the Intel Core i5 processor provides smooth performance for tasks like video editing and programming. With all-day battery life of around 7-9 hours, you can work or play on the go without worrying about running out of power."
Lenovo,IdeaPad 120S-14IAP,Notebook,14,1366x768,Intel,Celeron Dual Core N3350,1.1,4,64GB Flash Storage,Intel,HD Graphics 500,Windows 10,1.44,4 ~ 6,249,6100,299,4,6399.25,office_basic,office_admin;teacher,"Here is a concise and friendly product description for the Lenovo IdeaPad 120S-14IAP: ""Meet your new go-to laptop, perfect for casual use and on-the-go productivity! The Lenovo IdeaPad 120S-14IAP features a compact design, weighing in at just 2.97lbs, making it easy to take with you wherever life takes you. With up to 6 hours of battery life, stay connected and productive all day long."""
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel,Core i5,3.1,8,256GB SSD,Intel,Iris Plus Graphics 650,macOS,1.37,8 ~ 10,1803.6,4734,1757,8,6491.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs;teacher,"The Apple MacBook Pro is a powerful laptop designed for creativity and productivity. With its stunning 13.3"" Retina Display, you'll enjoy crisp visuals and vibrant colors. The Core i5 processor and Iris Plus Graphics deliver smooth performance, while 8GB of RAM and 256GB SSD storage ensure seamless multitasking. Perfect for students, professionals, and anyone needing a reliable laptop that can keep up with their demands on the go."
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,256GB SSD,Intel,HD Graphics 620,Windows 10,1.91,6 ~ 8,659,5955,935,8,6890.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs,"Meet the HP 15-BS101nv, a powerful and portable laptop perfect for students and professionals on-the-go! With an Intel Core i7 processor and 8GB of RAM, you'll enjoy seamless multitasking and smooth performance for demanding tasks like video editing or gaming. Its 256GB SSD ensures fast loading times and plenty of storage space."
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel,Core i7,2.7,16,512GB SSD,AMD,Radeon Pro 455,macOS,1.83,8 ~ 10,2537.45,3863,3112,16,6976,office_basic;multitask;coding_heavy;figma;photoshop,graphic_designer;office_admin;software_engineer;student_cs;teacher;uiux_designer,"Here is a concise and friendly product description for the Apple MacBook Pro: Get ready to unleash your creativity with the powerful Apple MacBook Pro. Featuring a stunning 15.4"" Retina Display, fast Core i7 processor, and 16GB of RAM, this laptop is perfect for professionals and students who need to multitask and run demanding applications. With up to 10 hours of battery life and ample storage, you can work or play all day long."
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel,Core i7,2.8,16,256GB SSD,AMD,Radeon Pro 555,macOS,1.83,8 ~ 10,2439.97,3863,3140,16,7004,office_basic;multitask;coding_heavy;figma;photoshop;video_editing_1080p;3d_rendering;cad_cam;gaming_light,3d_artist;content_creator;graphic_designer;office_admin;software_engineer;student_cs;teacher;uiux_designer;video_editor,"The Apple MacBook Pro is a powerful laptop designed for creative professionals and heavy users. It features a stunning 15.4"" Retina display, an i7 processor running at 2.8GHz, and 16GB of RAM. With a Radeon Pro 555 GPU and 256GB SSD, you'll enjoy seamless performance and storage for demanding tasks. Ideal for video editors, photographers, and developers who need a reliable workhorse."
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14,Full HD 1920x1080,Intel,Core i5 8250U,1.6,8,256GB SSD,Intel,UHD Graphics 620,Windows 10,1.4,7 ~ 9,941,6100,1030,8,7130.5,office_basic;coding_basic;figma,office_admin;software_engineer;student_cs;teacher,"Meet the Asus UX410UA, a powerful and portable laptop perfect for everyday use. Equipped with an 8th Gen Core i5 processor, 8GB of RAM, and a fast 256GB SSD, this laptop delivers seamless performance and quick multitasking. With up to 9 hours of battery life, you can stay productive on-the-go. Ideal for students, professionals, and anyone looking for a reliable laptop for work or study."
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel,Core i7,2.9,16,512GB SSD,AMD,Radeon Pro 560,macOS,1.83,7 ~ 9,2858,3863,3475,16,7339,office_basic;multitask;coding_heavy;figma;photoshop;video_editing_1080p;3d_rendering;cad_cam;gaming_light,3d_artist;content_creator;graphic_designer;office_admin;software_engineer;student_cs;uiux_designer;video_editor,"Here is a concise, friendly product description for the Apple MacBook Pro: Get unparalleled power and creativity with the Apple MacBook Pro. Equipped with a stunning Retina display, powerful Core i7 processor, and dedicated Radeon Pro 560 graphics, this laptop is perfect for professionals and creatives who demand top-notch performance. With 16GB of RAM and a fast 512GB SSD, you can work efficiently all day long - up to 9 hours on a single charge."
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel,Core i5,2.3,8,256GB SSD,Intel,Iris Plus Graphics 640,macOS,1.37,8 ~ 10,1518.55,4734,3140,8,7874.5,office_basic;multitask;coding_heavy;figma;photoshop;data_science,data_scientist;graphic_designer;office_admin;software_engineer;student_cs;teacher;uiux_designer,"Get productive on the go with the Apple MacBook Pro! This sleek laptop features a stunning 13.3"" Retina Display, powerful Core i5 processor, and 256GB SSD storage for seamless multitasking. Ideal for creatives, students, or professionals who need to stay organized and connected all day long – it lasts up to 10 hours on a single charge."
MSI,GL72M 7RDX,Gaming,17.3,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.7,2 ~ 3,1095,3035,5028,8,8063.5,office_basic;coding_basic;figma;gaming_light,office_admin;software_engineer;student_cs,"Meet the MSI GL72M 7RDX, a powerful laptop designed for gamers and content creators on-the-go! With an NVIDIA GeForce GTX 1050 GPU and Intel Core i5 processor, you'll enjoy smooth gaming and fast performance. This 17.3"" Full HD display laptop also comes with 8GB RAM and a large storage capacity, making it perfect for those who need a balance of power and portability."
Acer,Aspire 5,Notebook,15.6,Full HD 1920x1080,Intel,Core i7 8550U,1.8,8,1TB HDD,Nvidia,GeForce MX150,Windows 10,2.2,3 ~ 5,689,5839,2255,8,8094.5,office_basic;coding_basic;figma;gaming_light,office_admin;software_engineer;student_cs,"Get productive with the Acer Aspire 5, a powerful laptop designed for everyday tasks. Featuring an Intel Core i7 processor, 8GB of RAM, and a dedicated NVIDIA GeForce MX150 GPU, this device handles demanding applications with ease. Perfect for students and professionals who need reliable performance without breaking the bank."
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,8,1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.2,2.5 ~ 3.5,949,"3,618",5028,8,8646.5,office_basic;coding_basic;figma;gaming_light,office_admin;software_engineer;student_cs,"Meet the Asus FX503VD-E4022T, a powerful laptop perfect for gamers and heavy users. Equipped with an i7 processor and NVIDIA GeForce GTX 1050 graphics card, it delivers smooth performance and vibrant visuals on its 15.6"" Full HD display. With 8GB of RAM and a spacious 1TB hard drive, you can multitask and store your files with ease."
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050 Ti,Windows 10,2.65,3 ~ 4,1349,3357,6339,16,9697,office_basic;multitask;coding_heavy;figma;photoshop;video_editing_1080p;3d_rendering;cad_cam;gaming_light,3d_artist;content_creator;graphic_designer;office_admin;software_engineer;student_cs;uiux_designer;video_editor,"The Dell Inspiron 7577 is a powerful laptop for those who need a balance of performance and portability. Equipped with a Core i7 processor, 16GB of RAM, and a dedicated GeForce GTX 1050 Ti GPU, it's perfect for gamers and demanding users. With a spacious 128GB SSD and 1TB HDD combo, you'll have plenty of storage for your files and programs."
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1050,Windows 10,2.5,3 ~ 4,999,"5,102",5028,8,10130.5,office_basic;coding_basic;figma;gaming_light,office_admin;software_engineer;student_cs,"Here is a concise, friendly product description for the Lenovo Legion Y520-15IKBN: ""Get ready to take your gaming experience to the next level with the Lenovo Legion Y520-15IKBN. Powered by an Intel Core i5 processor, 8GB of RAM, and a dedicated NVIDIA GeForce GTX 1050 GPU, this laptop delivers smooth performance for intense games and demanding tasks. With a spacious 1TB hard drive and fast SSD storage, you'll have plenty of room to store your favorite games and files."""
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,12,1TB HDD,Nvidia,GeForce GTX 1050 Ti,Linux,3,2 ~ 3,949,6900,6339,12,13239.75,office_basic;coding_basic;figma;gaming_light,office_admin;software_engineer;student_cs,"Meet the Asus FX753VE-GC093, a powerful laptop designed for heavy users. With an Intel Core i7 processor and 12GB of RAM, you can tackle demanding tasks like video editing and gaming with ease. The 17.3"" Full HD display is perfect for multitasking, while the GeForce GTX 1050 Ti GPU provides smooth graphics performance. Ideal for students, professionals, and gamers who need a reliable machine to keep up with their workload."
Asus,ZenBook Pro,Ultrabook,15.6,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,512GB SSD,Nvidia,GeForce GTX 1050 Ti,Windows 10,1.8,4 ~ 6,1983,6900,6339,16,13240,office_basic;multitask;coding_heavy;figma;photoshop;video_editing_1080p;3d_rendering;cad_cam;gaming_light,3d_artist;content_creator;graphic_designer;office_admin;software_engineer;student_cs;uiux_designer;video_editor,"Here is a concise, friendly product description for the Asus ZenBook Pro: ""Take your productivity to the next level with the Asus ZenBook Pro. Equipped with a powerful Core i7 processor, 16GB of RAM, and a dedicated GeForce GTX 1050 Ti graphics card, this laptop handles demanding tasks with ease. Perfect for students, professionals, and gamers alike, it's great for on-the-go work, entertainment, or studies."""
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,256GB SSD +  1TB HDD,Nvidia,GeForce GTX 1060,Windows 10,2.65,2.5 ~ 3.5,1499,3357,10252,16,13610,office_basic;multitask;coding_heavy;figma;photoshop;video_editing_1080p;3d_rendering;cad_cam;gaming_light,3d_artist;content_creator;graphic_designer;office_admin;software_engineer;student_cs;uiux_designer;video_editor,"Here is a concise, friendly product description for the Dell Inspiron 7577 laptop: The Dell Inspiron 7577 is a powerful laptop perfect for gamers, creatives, and multitaskers alike. With an Intel Core i7 processor, NVIDIA GeForce GTX 1060 graphics, and 16GB of RAM, you'll enjoy seamless performance and crisp visuals on the stunning 15.6"" Full HD display. Plus, a spacious 1TB hard drive lets you store all your files and media in one place."
Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,Intel,Core i5 7300HQ,2.5,8,256GB SSD,Nvidia,GeForce GTX 1060,Windows 10,2.65,3 ~ 4,1195,3557,10252,8,13809.5,office_basic;coding_basic;figma;gaming_light,office_admin;software_engineer;student_cs,"The Dell Inspiron 7577 is a powerful laptop designed for gamers and creatives on the go. Featuring an Intel Core i5 processor, 8GB of RAM, and an NVIDIA GeForce GTX 1060 GPU, it delivers smooth performance for demanding tasks. Enjoy stunning Full HD visuals and store your files efficiently with the 256GB SSD."
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,128GB SSD +  1TB HDD,Nvidia,GeForce GTX 1060,Windows 10,2.2,2 ~ 3,1449,3618,10252,16,13871,office_basic;multitask;coding_heavy;figma;photoshop;video_editing_1080p;3d_rendering;cad_cam;gaming_light,3d_artist;content_creator;graphic_designer;office_admin;software_engineer;student_cs;uiux_designer;video_editor,"Here is a friendly product description for the Asus FX503VM-E4007T laptop: Get top-notch performance with the powerful Asus FX503VM-E4007T laptop, featuring a fast i7 processor and 16GB of RAM to handle demanding tasks. Enjoy stunning visuals on its 15.6"" Full HD IPS display, paired with dedicated NVIDIA GeForce GTX 1060 graphics for seamless gaming. Perfect for students, gamers, and professionals who need a reliable device that can keep up with their active lifestyle."
Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD,Ryzen 1700,3,8,256GB SSD +  1TB HDD,AMD,Radeon RX 580,Windows 10,3.2,1.5 ~ 2.5,1299,5924,8812,8,14736.5,office_basic;figma;gaming_light,office_admin,"Meet the Asus Rog Strix laptop, designed for gamers and power users who demand exceptional performance. Equipped with a 17.3"" Full HD display, AMD Ryzen 1700 CPU, Radeon RX 580 GPU, and 8GB of RAM, this beast can handle even the most demanding games and tasks. The 256GB SSD and 1TB HDD provide ample storage for your files and games."
MSI,GS73VR 7RG,Gaming,17.3,Full HD 1920x1080,Intel,Core i7 7700HQ,2.8,16,256GB SSD +  2TB HDD,Nvidia,GeForce GTX 1070,Windows 10,2.43,1.5 ~ 2,2449,6955,13499,16,20455,office_basic;multitask;coding_heavy;figma;photoshop;video_editing_1080p;3d_rendering;cad_cam;gaming_light,3d_artist;content_creator;graphic_designer;office_admin;software_engineer;student_cs;uiux_designer;video_editor,"The MSI GS73VR 7RG laptop is perfect for gamers and professionals who need power on the go. Equipped with a Core i7 CPU, 16GB RAM, and GeForce GTX 1070 GPU, this laptop delivers smooth performance for demanding tasks. The combo of SSD and HDD storage provides ample space for games and files, making it ideal for users who require both speed and capacity."
